| station       | antenna             | feed                     | front-end        | node-bulkhead   | post-amp     | snap                  | node      |      start |       stop |
| HH58 <ground  | ground> A58 <focus  | input> FDV67 <terminals  | input> FEM118 <n | n5> NBP05 <n5   | n> PAM117 <n | n4> SNPC000050 <rack  | loc1> N05 | 1257937218 |            |
| HH59 <ground  | ground> A59 <focus  | input> FDV66 <terminals  | input> FEM103 <e | e4> NBP05 <e4   | e> PAM116 <e | e2> SNPC000050 <rack  | loc1> N05 | 1257937218 |            |
| HH59 <ground  | ground> A59 <focus  | input> FDV66 <terminals  | input> FEM103 <n | n4> NBP05 <n4   | n> PAM116 <n | n0> SNPC000050 <rack  | loc1> N05 | 1257937218 |            |
| HH60 <ground  | ground> A60 <focus  | input> FDV64 <terminals  | input> FEM108 <e | e7> NBP05 <e7   | e> PAM119 <e | e2> SNPC000032 <rack  | loc2> N05 | 1257937218 |            |
| HH60 <ground  | ground> A60 <focus  | input> FDV64 <terminals  | input> FEM108 <n | n7> NBP05 <n7   | n> PAM119 <n | n0> SNPC000032 <rack  | loc2> N05 | 1257937218 |            |
| HH65 <ground  | ground> A65 <focus  | input> FDV95 <terminals  | input> FEM127 <e | e1> NBP03 <e1   | e> PAM125 <e | e2> SNPC000001 <rack  | loc0> N03 | 1259229618 |            |
| HH65 <ground  | ground> A65 <focus  | input> FDV95 <terminals  | input> FEM127 <n | n1> NBP03 <n1   | n> PAM125 <n | n0> SNPC000001 <rack  | loc0> N03 | 1259229618 |            |
| HH66 <ground  | ground> A66 <focus  | input> FDV76 <terminals  | input> FEM135 <e | e2> NBP03 <e2   | e> PAM126 <e | e6> SNPC000001 <rack  | loc0> N03 | 1259229618 |            |
| HH66 <ground  | ground> A66 <focus  | input> FDV76 <terminals  | input> FEM135 <n | n2> NBP03 <n2   | n> PAM126 <n | n4> SNPC000001 <rack  | loc0> N03 | 1259229618 |            |
| HH67 <ground  | ground> A67 <focus  | input> FDV88 <terminals  | input> FEM126 <e | e3> NBP03 <e3   | e> PAM127 <e | e10> SNPC000001 <rack | loc0> N03 | 1259229618 |            |
| HH67 <ground  | ground> A67 <focus  | input> FDV88 <terminals  | input> FEM126 <n | n3> NBP03 <n3   | n> PAM127 <n | n8> SNPC000001 <rack  | loc0> N03 | 1259229618 |            |
| HH68 <ground  | ground> A68 <focus  | input> FDV77 <terminals  | input> FEM128 <e | e4> NBP03 <e4   | e> PAM124 <e | e2> SNPC000002 <rack  | loc1> N03 | 1260180138 |            |
| HH68 <ground  | ground> A68 <focus  | input> FDV77 <terminals  | input> FEM128 <n | n4> NBP03 <n4   | n> PAM124 <n | n0> SNPC000002 <rack  | loc1> N03 | 1260180138 |            |
| HH69 <ground  | ground> A69 <focus  | input> FDV65 <terminals  | input> FEM121 <e | e5> NBP04 <e5   | e> PAM105 <e | e6> SNPC000003 <rack  | loc1> N04 | 1257937218 |            |
| HH69 <ground  | ground> A69 <focus  | input> FDV65 <terminals  | input> FEM121 <n | n5> NBP04 <n5   | n> PAM105 <n | n4> SNPC000003 <rack  | loc1> N04 | 1257937218 |            |
| HH70 <ground  | ground> A70 <focus  | input> FDV55 <terminals  | input> FEM112 <e | e9> NBP04 <e9   | e> PAM109 <e | e10> SNPC000048 <rack | loc2> N04 | 1257937218 |            |
| HH70 <ground  | ground> A70 <focus  | input> FDV55 <terminals  | input> FEM112 <n | n9> NBP04 <n9   | n> PAM109 <n | n8> SNPC000048 <rack  | loc2> N04 | 1257937218 |            |
| HH71 <ground  | ground> A71 <focus  | input> FDV63 <terminals  | input> FEM114 <e | e8> NBP04 <e8   | e> PAM108 <e | e6> SNPC000048 <rack  | loc2> N04 | 1257937218 |            |
| HH71 <ground  | ground> A71 <focus  | input> FDV63 <terminals  | input> FEM114 <n | n8> NBP04 <n8   | n> PAM108 <n | n4> SNPC000048 <rack  | loc2> N04 | 1257937218 |            |
| HH72 <ground  | ground> A72 <focus  | input> FDV61 <terminals  | input> FEM124 <e | e1> NBP04 <e1   | e> PAM101 <e | e2> SNPC000022 <rack  | loc0> N04 | 1257937218 |            |
| HH72 <ground  | ground> A72 <focus  | input> FDV61 <terminals  | input> FEM124 <n | n1> NBP04 <n1   | n> PAM101 <n | n0> SNPC000022 <rack  | loc0> N04 | 1257937218 |            |
| HH73 <ground  | ground> A73 <focus  | input> FDV60 <terminals  | input> FEM122 <e | e3> NBP05 <e3   | e> PAM115 <e | e10> SNPC000058 <rack | loc0> N05 | 1257937218 |            |
| HH73 <ground  | ground> A73 <focus  | input> FDV60 <terminals  | input> FEM122 <n | n3> NBP05 <n3   | n> PAM115 <n | n8> SNPC000058 <rack  | loc0> N05 | 1257937218 |            |
| HH74 <ground  | ground> A74 <focus  | input> FDV73 <terminals  | input> FEM111 <e | e9> NBP05 <e9   | e> PAM121 <e | e10> SNPC000032 <rack | loc2> N05 | 1257937218 |            |
| HH74 <ground  | ground> A74 <focus  | input> FDV73 <terminals  | input> FEM111 <n | n9> NBP05 <n9   | n> PAM121 <n | n8> SNPC000032 <rack  | loc2> N05 | 1257937218 |            |
| HH75 <ground  | ground> A75 <focus  | input> FDV62 <terminals  | input> FEM115 <e | e10> NBP05 <e10 | e> PAM122 <e | e2> SNPC000018 <rack  | loc3> N05 | 1257937218 |            |
| HH75 <ground  | ground> A75 <focus  | input> FDV62 <terminals  | input> FEM115 <n | n10> NBP05 <n10 | n> PAM122 <n | n0> SNPC000018 <rack  | loc3> N05 | 1257937218 |            |
| HH81 <ground  | ground> A81 <focus  | input> FDV26 <terminals  | input> FEM017 <e | e1> NBP07 <e1   | e> PAM053 <e | e2> SNPC000019 <rack  | loc0> N07 | 1254049218 |            |
| HH81 <ground  | ground> A81 <focus  | input> FDV26 <terminals  | input> FEM017 <n | n1> NBP07 <n1   | n> PAM053 <n | n0> SNPC000019 <rack  | loc0> N07 | 1254049218 |            |
| HH82 <ground  | ground> A82 <focus  | input> FDV27 <terminals  | input> FEM051 <e | e2> NBP07 <e2   | e> PAM054 <e | e6> SNPC000019 <rack  | loc0> N07 | 1254049218 |            |
| HH82 <ground  | ground> A82 <focus  | input> FDV27 <terminals  | input> FEM051 <n | n2> NBP07 <n2   | n> PAM054 <n | n4> SNPC000019 <rack  | loc0> N07 | 1254049218 |            |
| HH83 <ground  | ground> A83 <focus  | input> FDV48 <terminals  | input> FEM037 <e | e3> NBP07 <e3   | e> PAM058 <e | e10> SNPC000019 <rack | loc0> N07 | 1256644818 |            |
| HH83 <ground  | ground> A83 <focus  | input> FDV48 <terminals  | input> FEM037 <n | n3> NBP07 <n3   | n> PAM058 <n | n8> SNPC000019 <rack  | loc0> N07 | 1256644818 |            |
| HH84 <ground  | ground> A84 <focus  | input> FDV35 <terminals  | input> FEM054 <e | e10> NBP08 <e10 | e> PAM019 <e | e2> SNPC000056 <rack  | loc3> N08 | 1249210818 |            |
| HH84 <ground  | ground> A84 <focus  | input> FDV35 <terminals  | input> FEM054 <n | n10> NBP08 <n10 | n> PAM019 <n | n0> SNPC000056 <rack  | loc3> N08 | 1249210818 |            |
| HH85 <ground  | ground> A85 <focus  | input> FDV36 <terminals  | input> FEM055 <e | e2> NBP08 <e2   | e> PAM011 <e | e6> SNPC000023 <rack  | loc0> N08 | 1249210818 |            |
| HH85 <ground  | ground> A85 <focus  | input> FDV36 <terminals  | input> FEM055 <n | n2> NBP08 <n2   | n> PAM011 <n | n4> SNPC000023 <rack  | loc0> N08 | 1249210818 |            |
| HH86 <ground  | ground> A86 <focus  | input> FDV37 <terminals  | input> FEM056 <e | e3> NBP08 <e3   | e> PAM012 <e | e10> SNPC000023 <rack | loc0> N08 | 1249210818 |            |
| HH86 <ground  | ground> A86 <focus  | input> FDV37 <terminals  | input> FEM056 <n | n3> NBP08 <n3   | n> PAM012 <n | n8> SNPC000023 <rack  | loc0> N08 | 1249210818 |            |
| HH87 <ground  | ground> A87 <focus  | input> FDV38 <terminals  | input> FEM057 <e | e7> NBP08 <e7   | e> PAM016 <e | e2> SNPC000055 <rack  | loc2> N08 | 1249210818 |            |
| HH87 <ground  | ground> A87 <focus  | input> FDV38 <terminals  | input> FEM057 <n | n7> NBP08 <n7   | n> PAM016 <n | n0> SNPC000055 <rack  | loc2> N08 | 1249210818 |            |
| HH88 <ground  | ground> A88 <focus  | input> FDV15 <terminals  | input> FEM038 <e | e3> NBP09 <e3   | e> PAM037 <e | e10> SNPC000010 <rack | loc0> N09 | 1251376218 |            |
| HH88 <ground  | ground> A88 <focus  | input> FDV15 <terminals  | input> FEM038 <n | n3> NBP09 <n3   | n> PAM037 <n | n8> SNPC000010 <rack  | loc0> N09 | 1251376218 |            |
| HH89 <ground  | ground> A89 <focus  | input> FDV16 <terminals  | input> FEM044 <e | e9> NBP09 <e9   | e> PAM023 <e | e10> SNPC000013 <rack | loc2> N09 | 1249905618 |            |
| HH89 <ground  | ground> A89 <focus  | input> FDV16 <terminals  | input> FEM044 <n | n9> NBP09 <n9   | n> PAM023 <n | n8> SNPC000013 <rack  | loc2> N09 | 1249905618 |            |
| HH90 <ground  | ground> A90 <focus  | input> FDV17 <terminals  | input> FEM039 <e | e2> NBP09 <e2   | e> PAM036 <e | e6> SNPC000010 <rack  | loc0> N09 | 1251376218 |            |
| HH90 <ground  | ground> A90 <focus  | input> FDV17 <terminals  | input> FEM039 <n | n2> NBP09 <n2   | n> PAM036 <n | n4> SNPC000010 <rack  | loc0> N09 | 1251376218 |            |
| HH91 <ground  | ground> A91 <focus  | input> FDV18 <terminals  | input> FEM035 <e | e6> NBP09 <e6   | e> PAM040 <e | e10> SNPC000011 <rack | loc1> N09 | 1251376218 |            |
| HH91 <ground  | ground> A91 <focus  | input> FDV18 <terminals  | input> FEM035 <n | n6> NBP09 <n6   | n> PAM040 <n | n8> SNPC000011 <rack  | loc1> N09 | 1251376218 |            |
| HH92 <ground  | ground> A92 <focus  | input> FDV84 <terminals  | input> FEM138 <e | e1> NBP10 <e1   | e> PAM137 <e | e2> SNPC000014 <rack  | loc0> N10 | 1259229618 |            |
| HH92 <ground  | ground> A92 <focus  | input> FDV84 <terminals  | input> FEM138 <n | n1> NBP10 <n1   | n> PAM137 <n | n0> SNPC000014 <rack  | loc0> N10 | 1259229618 |            |
| HH93 <ground  | ground> A93 <focus  | input> FDV79 <terminals  | input> FEM141 <e | e2> NBP10 <e2   | e> PAM138 <e | e6> SNPC000014 <rack  | loc0> N10 | 1259229618 |            |
| HH93 <ground  | ground> A93 <focus  | input> FDV79 <terminals  | input> FEM141 <n | n2> NBP10 <n2   | n> PAM138 <n | n4> SNPC000014 <rack  | loc0> N10 | 1259229618 |            |
| HH94 <ground  | ground> A94 <focus  | input> FDV78 <terminals  | input> FEM147 <e | e3> NBP10 <e3   | e> PAM139 <e | e10> SNPC000014 <rack | loc0> N10 | 1259229618 |            |
| HH94 <ground  | ground> A94 <focus  | input> FDV78 <terminals  | input> FEM147 <n | n3> NBP10 <n3   | n> PAM139 <n | n8> SNPC000014 <rack  | loc0> N10 | 1259229618 |            |
